year,stateabbrev,WRLURI,planner,luPcCum,roll2005t
1990,"FL",.3222491,12,1.440236,
1991,"FL",.3222491,12,1.474914,
1992,"FL",.3222491,12,1.504606,
1993,"FL",.3222491,12,1.427073,
1994,"FL",.3222491,12,1.468807,
1995,"FL",.3222491,12,1.44201,
1996,"FL",.3222491,12,1.380152,
1997,"FL",.3222491,12,1.322307,
1998,"FL",.3222491,12,1.361849,
1999,"FL",.3222491,12,1.377978,
2000,"FL",.3222491,12,1.457506,
2001,"FL",.3222491,12,1.438316,
2002,"FL",.3222491,12,1.410305,
2003,"FL",.3222491,12,1.367976,
2004,"FL",.3222491,12,1.314272,
2005,"FL",.3222491,12,1.262554,19
2006,"FL",.3222491,12,1.260648,
2007,"FL",.3222491,12,1.277345,
2008,"FL",.3222491,12,1.218466,
2009,"FL",.3222491,12,1.214865,
2010,"FL",.3222491,12,1.171207,
1880,"GA",-.2918936,8,,
1900,"GA",-.2918936,8,,
1920,"GA",-.2918936,8,,
1929,"GA",-.2918936,8,,
1930,"GA",-.2918936,8,,
1931,"GA",-.2918936,8,,
1932,"GA",-.2918936,8,,
1933,"GA",-.2918936,8,,
1934,"GA",-.2918936,8,,
1935,"GA",-.2918936,8,,
1936,"GA",-.2918936,8,,
1937,"GA",-.2918936,8,,
1938,"GA",-.2918936,8,,
1939,"GA",-.2918936,8,,
1940,"GA",-.2918936,8,.6412312,
1941,"GA",-.2918936,8,.6344888,
1942,"GA",-.2918936,8,.4229926,
1943,"GA",-.2918936,8,.3172444,
1944,"GA",-.2918936,8,.2537955,
1945,"GA",-.2918936,8,.2114963,
1946,"GA",-.2918936,8,.1812825,
1947,"GA",-.2918936,8,.1586222,
1948,"GA",-.2918936,8,.1409975,
1949,"GA",-.2918936,8,.1569729,
1950,"GA",-.2918936,8,.0928498,
1951,"GA",-.2918936,8,.0867164,
1952,"GA",-.2918936,8,.0867164,
1953,"GA",-.2918936,8,.1429277,
1954,"GA",-.2918936,8,.1429277,
1955,"GA",-.2918936,8,.225436,
1956,"GA",-.2918936,8,.3335149,
1957,"GA",-.2918936,8,.3600682,
1958,"GA",-.2918936,8,.4126445,
