statefip,skill,basePop,netMig,lr,lincShared
"Maine",0,94205,.5210396,9.408036,9.760981
"Maine",1,34576,.388256,9.786044,9.760981
"Maine",0,45193,-1.575821,9.185213,9.491202
"Maine",1,19789,-2.923887,9.656968,9.491202
"Maine",1,33420,1.080127,9.881777,9.975008
"Maine",0,77678,2.215161,9.690309,9.975008
"Maine",1,28476,-.9053591,9.75736,9.97937
"Maine",0,42656,-1.488781,9.700406,9.97937
"Maryland",0,40706,-.1540676,9.452703,9.786217
"Maryland",1,8623,1.982607,9.748056,9.786217
"Maryland",1,17971,-.7545398,9.391986,9.722147
"Maryland",0,77849,2.693592,9.325372,9.722147
"Maryland",1,108618,.9530658,10.23941,10.22484
"Maryland",0,407296,.988343,9.935455,10.22484
"Maryland",1,21185,25.86362,10.5031,10.39425
"Maryland",0,33150,21.17236,9.957112,10.39425
"Maryland",0,14112,-.3573936,8.576492,8.964308
"Maryland",1,1557,1.359372,9.458186,8.964308
"Maryland",0,31114,.9163103,8.607936,9.244206
"Maryland",1,4900,1.943689,9.90354,9.244206
"Maryland",0,43016,1.095974,9.221797,9.491329
"Maryland",1,6164,1.016673,9.643472,9.491329
"Massachusetts",0,60485,-.4933568,9.852732,10.15722
"Massachusetts",1,21403,.0158753,10.09266,10.15722
"Massachusetts",0,143670,.2122984,9.914553,10.21857
"Massachusetts",1,57933,-.9424463,10.19383,10.21857
"Massachusetts",0,167345,.0789326,9.986222,10.27663
"Massachusetts",1,55630,.1690772,9.933328,10.27663
"Massachusetts",1,479608,-.2569101,10.15221,10.26165
"Massachusetts",0,819679,-.3672014,9.86031,10.26165
"Massachusetts",1,8763,4.080893,9.699497,9.758612
"Massachusetts",0,13291,1.81373,9.324645,9.758612
"Massachusetts",0,54318,2.012835,9.768466,10.10682
"Massachusetts",1,30140,-.3552061,10.08352,10.10682
"Massachusetts",0,149803,-.4275232,9.724166,10.04953
"Massachusetts",1,35684,-1.186067,10.16325,10.04953
"Michigan",1,19002,-.1069565,9.731503,9.730345
"Michigan",0,74494,.3208693,9.472727,9.730345
"Michigan",1,10452,-2.20724,9.802991,9.696385
"Michigan",0,39384,-.5016454,9.477782,9.696385
"Michigan",0,28692,3.365866,8.885415,9.468595
"Michigan",1,9218,2.374044,9.798269,9.468595
"Michigan",0,44647,.1252155,8.86024,9.19563
"Michigan",1,10458,.8855821,9.619906,9.19563
"Michigan",0,34593,4.017217,9.039847,9.405296
"Michigan",1,9318,2.760128,9.427677,9.405296
"Michigan",0,66072,-1.780462,9.30009,9.64981
"Michigan",1,17221,-.1200581,9.73233,9.64981
"Michigan",1,13041,.1234506,9.971651,10.0324
"Michigan",0,46902,4.55099,9.7578,10.0324
"Michigan",1,8699,-.6563833,8.892891,8.889267
"Michigan",0,37006,1.595012,,8.889267
"Michigan",1,9928,1.051978,9.931098,9.774323
"Michigan",0,35130,3.799547,9.457103,9.774323
"Michigan",1,29422,.3804777,10.06262,10.00385
"Michigan",0,75709,.7466875,9.713854,10.00385
"Michigan",0,34364,.463951,9.899373,10.15477
"Michigan",1,8744,3.479633,10.37569,10.15477
"Michigan",0,39364,1.187506,9.434478,9.73233
"Michigan",1,15541,1.573627,9.62927,9.73233
"Michigan",0,89477,1.849838,9.417637,9.768005
"Michigan",1,34642,.4237868,9.798266,9.768005
"Michigan",0,82798,-1.277051,9.99174,10.17881
"Michigan",1,26673,-1.154644,10.10064,10.17881
"Michigan",0,42145,-.9766284,9.737549,10.12564
"Michigan",1,22977,.0552809,10.10212,10.12564
"Michigan",0,64449,6.37861,9.652024,10.06723
"Michigan",1,27107,-.3276683,10.19122,10.06723
"Michigan",0,862261,.55957,10.03826,10.33767
"Michigan",1,320433,.4413652,10.29024,10.33767
"Michigan",1,13076,1.214168,9.409009,9.273031
"Michigan",0,33705,.444625,8.813498,9.273031
"Michigan",1,18519,2.726746,9.654161,9.794731
"Michigan",0,57469,1.942412,9.539064,9.794731
"Michigan",1,15210,-.6689112,10.04007,10.09335
"Michigan",0,29639,2.675645,9.717147,10.09335
"Minnesota",0,52928,.4268895,8.577195,9.131537
"Minnesota",1,13834,.1303136,9.706935,9.131537
