skill,basePop,netMig,lr,lincShared
0,54483,3.786482,10.75074,11.00037
1,10617,.3041475,11.31235,11.00037
1,18776,-1.632842,11.6186,11.21376
0,63412,-5.719813,10.77208,11.21376
1,15981,1.835381,11.33748,11.14575
0,68906,4.771049,10.90086,11.14575
0,48596,6.434842,10.71592,11.01337
1,10644,2.20628,11.35573,11.01337
1,20118,.0487783,11.29243,11.04891
0,70086,-1.070906,10.70156,11.04891
0,50127,-6.244494,10.62788,10.86461
1,10038,-3.359096,11.04704,10.86461
1,6668,-.6907503,11.26804,10.91983
0,43712,.3850734,10.71385,10.91983
0,57469,1.686707,10.68953,10.97991
1,13972,-4.696183,11.24387,10.97991
1,31947,-.1040376,11.30869,11.15832
0,89163,-3.822145,10.80302,11.15832
0,60549,4.076701,10.78484,11.00955
1,9802,.2203238,11.21303,11.00955
1,10331,3.519849,11.32476,11.08377
0,42569,3.306238,10.79426,11.08377
0,60766,2.227719,10.72505,10.90841
1,7151,-.0471163,11.12722,10.90841
0,48854,1.792879,10.67349,10.90907
1,6476,.3578529,11.23606,10.90907
0,48711,-3.343341,10.71496,11.03993
1,12575,-.2822831,11.36319,11.03993
1,7475,.3494273,11.17057,10.84212
0,58347,2.233296,10.61796,10.84212
1,7242,1.257123,11.0378,10.88833
0,45577,1.357466,10.66582,10.88833
1,10750,-.7368364,11.15756,10.9576
0,45029,-1.168899,10.70015,10.9576
0,,,,
1,,,,
0,,,,
1,,,,
1,,,,
0,,,,
0,70342,7.640599,10.54618,10.8863
1,14154,4.350502,10.95602,10.8863
0,36635,.6842657,10.77382,11.00734
1,16853,-9.101107,10.98702,11.00734
0,58188,-3.389651,10.67187,11.03468
1,17336,-.4991791,11.3233,11.03468
1,7088,2.820963,11.14476,10.84974
0,40768,2.701856,10.5143,10.84974
1,8037,2.628889,11.11341,11.01806
0,46739,13.09515,10.76833,11.01806
0,97530,4.216752,10.86389,11.32476
1,47724,3.006458,11.51315,11.32476
1,13659,2.777279,11.03504,10.89511
0,64295,-.5221028,10.55267,10.89511
1,16010,-2.097902,11.25433,11.03875
0,55919,-1.076061,10.75058,11.03875
1,28878,-.7571704,11.40189,11.1039
0,133701,-.6636774,10.82991,11.1039
0,44367,-.592154,10.78079,10.95615
1,12375,-4.093969,10.97464,10.95615
1,10920,-1.433394,11.17739,10.94868
0,45659,.0530232,10.69563,10.94868
1,9869,-.1515591,11.07889,10.94432
0,52153,-.4885363,10.73615,10.94432
0,40634,1.249058,10.74295,10.95989
1,8443,-1.141064,11.05967,10.95989
1,11404,-4.051228,11.07092,10.92489
0,39272,-.769595,10.69273,10.92489
0,46982,1.627105,10.6853,10.89916
1,7532,-.5374766,11.14784,10.89916
0,64044,1.410047,10.6827,10.90842
1,10067,-.2739134,11.26141,10.90842
0,65605,1.204885,10.67775,10.94347
1,25441,-6.22872,11.0532,10.94347
1,9389,-.4840196,11.38443,11.01966
0,54658,.3419364,10.7769,11.01966
0,128267,-.5908411,10.89712,11.15401
1,34721,-.422117,11.27269,11.15401
1,32808,-.2264826,11.36041,11.20298
0,112457,-.4295598,10.94206,11.20298
1,36328,-.5590944,11.35215,11.21461
0,86907,.1817665,10.90065,11.21461
1,12221,-1.925941,11.39195,11.17998
0,48217,-1.469274,10.91201,11.17998
1,8583,-.6289545,11.1122,11.00749
0,44680,.035672,10.82403,11.00749
0,84585,-1.629607,10.93818,11.24259
1,28387,-.6081153,11.45743,11.24259
1,12911,1.142058,11.44163,11.24524
0,52147,1.035999,10.99367,11.24524
0,41827,2.435851,10.8748,11.34224
1,31946,-2.879102,11.54043,11.34224
0,50431,-1.300779,10.8655,11.22916
1,44589,-10.77247,11.30347,11.22916
1,12850,.091844,11.26689,10.999
0,69899,-.3033269,10.75191,10.999
0,41879,-.1208459,10.88257,11.17026
1,9426,-1.105155,11.38614,11.17026
0,46754,-.1126413,10.94784,11.14767
1,8288,-.6413284,11.21863,11.14767
0,48192,.1418852,10.82106,11.01037
1,10306,-1.357311,11.10672,11.01037
1,18340,-5.165865,11.48599,11.25932
0,41166,2.719054,10.92163,11.25932
1,9602,-.0629265,11.3226,11.16935
0,41251,.3755924,10.93256,11.16935
1,34580,-.2267492,11.48679,11.27074
0,132565,.9644321,11.01493,11.27074
0,259879,3.854893,11.16967,11.50672
1,103218,2.802006,11.64863,11.50672
1,64362,5.166488,11.58388,11.46479
0,186137,9.761716,11.17122,11.46479
